source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Astrocyte,Astrocyte,TNFSF10,TNFRSF10B,0.82977664,0.0,0.6486158,0.6610928692080902,4.686427870859195,0.33573672,0.60401165,0.005043806645995343,0.5057396586210764
Astrocyte_2,MGE interneuron,EFNA5,EPHA4,3.1938596,1.0,9.211692,-0.1449741551857277,-0.3729079510980897,0.011336669,0.8518143,1.0,0.5071387484532607
Upper-layer intratelencephalic,Astrocyte,NRG1,HLA-DPB1,3.3978815,0.0,9.713131,0.7353550693921531,2.989965343881673,0.10653752,0.8551286,0.004027892451775755,0.5071387484532607
Deep-layer intratelencephalic,MGE interneuron,CNTN6,PTPRG,4.32913,0.0,15.483412,0.41591208936636725,0.6900323827145511,0.031102756,0.88169193,0.11817595395266588,0.5073188368123677
CGE interneuron,Astrocyte,NRG1,HLA-DPB1,3.1895537,0.0,8.861404,0.673528054863491,3.089761532285756,0.09719544,0.84935087,0.0076877560446640455,0.5102437927166118
Hippocampal dentate gyrus,MGE interneuron,EFNA5,EPHA6,4.273449,0.0,16.42437,0.02243507861852148,-0.015137524011111125,0.01494522,0.8847345,1.0,0.511236566898503
Deep-layer intratelencephalic,Hippocampal CA1-3,CNTN6,PTPRG,4.32889,0.0,15.482198,0.4158136568914129,0.7517141881276901,0.031100316,0.88168776,0.11817595395266588,0.511236566898503
CGE interneuron,CGE interneuron,EFNA5,EPHA3,3.1842885,0.0,9.556236,0.18058433379178354,0.3518717312951396,0.024058666,0.854117,0.4560441979104247,0.5133613199507513
MGE interneuron,MGE interneuron,EFNB2,EPHA6,3.6816237,0.0,9.761388,0.16089959309059898,0.3084588459702,0.01894961,0.8554353,0.6236557401551949,0.5133613199507513
Hippocampal dentate gyrus,Deep-layer intratelencephalic,FN1,ITGA6,0.8242622,1.0,0.64933056,-0.028931111962703024,-0.6681212402140824,0.013085409,0.6041434,1.0,0.5146903397600708
MGE interneuron,Deep-layer intratelencephalic,EFNB2,EPHA4,3.183176,0.0,8.0327015,0.21063616754580713,0.13932639821920034,0.0210903,0.842961,0.3769367999867675,0.5164915198665412
Astrocyte,Astrocyte,ENTPD1,TMIGD3,3.3880305,0.0,9.820584,1.550430734456125,6.212636278694822,0.548868,0.85580873,2.84415460882674e-06,0.5164915198665412
Upper-layer intratelencephalic,Upper-layer intratelencephalic,EFNA5,EPHA3,4.2516084,0.0,16.698463,0.5753441704520301,0.9152635729631333,0.04203985,0.8855757,0.06863735611953807,0.5191044158127331
Upper-layer intratelencephalic,Hippocampal CA1-3,EFNA5,EPHA3,3.6211188,0.0,9.857188,0.31700041647118216,0.28417713790322496,0.024816338,0.85603815,0.1646827435362501,0.5196344181688612
MGE interneuron,Hippocampal CA1-3,EFNA5,EPHA3,3.1817749,0.0,8.260727,0.16230174866685954,-0.08623477118795764,0.020797104,0.8448048,0.758575116193886,0.5196344181688612
Hippocampal CA1-3,Upper-layer intratelencephalic,CNTN6,PTPRG,3.791744,0.0,9.870669,0.18909617805956133,-0.006384843913068483,0.019827995,0.8561223,0.58865235549664,0.5227902079258144
